Date,Year,Month,gdp_usd_annual,gdp_usd_monthly
2013-01-31,2013,1,76976203829.4765,77432772708.46657
2013-02-28,2013,2,76976203829.4765,77858903662.19064
2013-03-31,2013,3,76976203829.4765,78330691503.81372
2013-04-30,2013,4,76976203829.4765,78787260382.80379
2013-05-31,2013,5,76976203829.4765,79259048224.42686
2013-06-30,2013,6,76976203829.4765,79715617103.41695
2013-07-31,2013,7,76976203829.4765,80187404945.04002
2013-08-31,2013,8,76976203829.4765,80659192786.6631
2013-09-30,2013,9,76976203829.4765,81115761665.65317
2013-10-31,2013,10,76976203829.4765,81587549507.27625
2013-11-30,2013,11,76976203829.4765,82044118386.26633
2013-12-31,2013,12,76976203829.4765,82515906227.8894
2014-01-31,2014,1,82531125190.5224,82741468412.01753
2014-02-28,2014,2,82531125190.5224,82937788752.07965
2014-03-31,2014,3,82531125190.5224,83155143414.29129
2014-04-30,2014,4,82531125190.5224,83365486635.78642
2014-05-31,2014,5,82531125190.5224,83582841297.99806
2014-06-30,2014,6,82531125190.5224,83793184519.49318
2014-07-31,2014,7,82531125190.5224,84010539181.70482
2014-08-31,2014,8,82531125190.5224,84227893843.91646
2014-09-30,2014,9,82531125190.5224,84438237065.41159
2014-10-31,2014,10,82531125190.5224,84655591727.62323
2014-11-30,2014,11,82531125190.5224,84865934949.11835
2014-12-31,2014,12,82531125190.5224,85083289611.32999
2015-01-31,2015,1,85090301052.0465,85329471746.80396
2015-02-28,2015,2,85090301052.0465,85552697728.57759
2015-03-31,2015,3,85090301052.0465,85799840779.82697
2015-04-30,2015,4,85090301052.0465,86039011474.58443
2015-05-31,2015,5,85090301052.0465,86286154525.8338
2015-06-30,2015,6,85090301052.0465,86525325220.59126
2015-07-31,2015,7,85090301052.0465,86772468271.84064
2015-08-31,2015,8,85090301052.0465,87019611323.09001
2015-09-30,2015,9,85090301052.0465,87258782017.84747
2015-10-31,2015,10,85090301052.0465,87505925069.09685
2015-11-30,2015,11,85090301052.0465,87745095763.85431
2015-12-31,2015,12,85090301052.0465,87992238815.10368
2016-01-31,2016,1,88000211171.5956,88522271754.70918
2016-02-29,2016,2,88000211171.5956,89026930318.38567
2016-03-31,2016,3,88000211171.5956,89566392920.93637
2016-04-30,2016,4,88000211171.5956,90088453504.04996
2016-05-31,2016,5,88000211171.5956,90627916106.60068
2016-06-30,2016,6,88000211171.5956,91149976689.71426
2016-07-31,2016,7,88000211171.5956,91689439292.26497
2016-08-31,2016,8,88000211171.5956,92228901894.81569
2016-09-30,2016,9,88000211171.5956,92750962477.92928
2016-10-31,2016,10,88000211171.5956,93290425080.47998
2016-11-30,2016,11,88000211171.5956,93812485663.59357
2016-12-31,2016,12,88000211171.5956,94351948266.14429
2017-01-31,2017,1,94369350285.5814,94375980342.89037
2017-02-28,2017,2,94369350285.5814,94382168396.37874
2017-03-31,2017,3,94369350285.5814,94389019455.598
2017-04-30,2017,4,94369350285.5814,94395649512.90697
2017-05-31,2017,5,94369350285.5814,94402500572.12624
2017-06-30,2017,6,94369350285.5814,94409130629.43521
2017-07-31,2017,7,94369350285.5814,94415981688.65446
2017-08-31,2017,8,94369350285.5814,94422832747.87373
2017-09-30,2017,9,94369350285.5814,94429462805.18271
2017-10-31,2017,10,94369350285.5814,94436313864.40196
2017-11-30,2017,11,94369350285.5814,94442943921.71094
2017-12-31,2017,12,94369350285.5814,94449794980.9302
2018-01-31,2018,1,94450015982.8405,94001963131.91484
2018-02-28,2018,2,94450015982.8405,93583780471.05089
2018-03-31,2018,3,94450015982.8405,93120792525.09438
2018-04-30,2018,4,94450015982.8405,92672739674.16872
2018-05-31,2018,5,94450015982.8405,92209751728.21219
2018-06-30,2018,6,94450015982.8405,91761698877.28653
2018-07-31,2018,7,94450015982.8405,91298710931.33002
2018-08-31,2018,8,94450015982.8405,90835722985.3735
2018-09-30,2018,9,94450015982.8405,90387670134.44785
2018-10-31,2018,10,94450015982.8405,89924682188.49133
2018-11-30,2018,11,94450015982.8405,89476629337.56566
2018-12-31,2018,12,94450015982.8405,89013641391.60915
2019-01-31,2019,1,88998706296.5783,88615435196.70944
2019-02-28,2019,2,88998706296.5783,88257715503.4985
2019-03-31,2019,3,88998706296.5783,87861668700.30069
2019-04-30,2019,4,88998706296.5783,87478397600.43182
2019-05-31,2019,5,88998706296.5783,87082350797.23401
2019-06-30,2019,6,88998706296.5783,86699079697.36516
2019-07-31,2019,7,88998706296.5783,86303032894.16733
2019-08-31,2019,8,88998706296.5783,85906986090.96951
2019-09-30,2019,9,88998706296.5783,85523714991.10066
2019-10-31,2019,10,88998706296.5783,85127668187.90283
2019-11-30,2019,11,88998706296.5783,84744397088.03398
2019-12-31,2019,12,88998706296.5783,84348350284.83617
2020-01-31,2020,1,84335574581.5072,84681568381.1954
2020-02-29,2020,2,84335574581.5072,85016029054.22734
2020-03-31,2020,3,84335574581.5072,85373555980.57181
2020-04-30,2020,4,84335574581.5072,85719549780.26003
2020-05-31,2020,5,84335574581.5072,86077076706.60449
2020-06-30,2020,6,84335574581.5072,86423070506.2927
2020-07-31,2020,7,84335574581.5072,86780597432.63718
2020-08-31,2020,8,84335574581.5072,87138124358.98166
2020-09-30,2020,9,84335574581.5072,87484118158.66986
2020-10-31,2020,10,84335574581.5072,87841645085.01434
2020-11-30,2020,11,84335574581.5072,88187638884.70255
2020-12-31,2020,12,84335574581.5072,88545165811.04701
2021-01-31,2021,1,88556698937.7033,87372013019.21872
2021-02-28,2021,2,88556698937.7033,86266306161.96645
2021-03-31,2021,3,88556698937.7033,85042130712.8657
2021-04-30,2021,4,88556698937.7033,83857444794.38113
2021-05-31,2021,5,88556698937.7033,82633269345.28041
2021-06-30,2021,6,88556698937.7033,81448583426.79582
2021-07-31,2021,7,88556698937.7033,80224407977.6951
2021-08-31,2021,8,88556698937.7033,79000232528.59438
2021-09-30,2021,9,88556698937.7033,77815546610.10979
